,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
579,"Precinmac (US) Holdings Inc., Trimaster Manufacturing Inc. and Blade Group Holdings, LP. (16)",Manufacturer of high-tolerance precision machined components and assemblies for the aerospace and defense industry,First lien senior secured loan ($32.3 par due 08/2027),7.00% (LIBOR + 6.00%/M),8/31/2021,32.3,32.3
580,"Precinmac (US) Holdings Inc., Trimaster Manufacturing Inc. and Blade Group Holdings, LP. (16)",Manufacturer of high-tolerance precision machined components and assemblies for the aerospace and defense industry,"Class A units (88,420 units)",0,8/31/2021,13.4,16.3
581,"Radius Aerospace, Inc. and Radius Aerospace Europe Limited (16)",Metal fabricator in the aerospace industry,First lien senior secured revolving loan ($0.4 par due 03/2025),6.75% (SOFR + 5.75%/Q),3/29/2019,0.4,0.4
582,"Sunk Rock Foundry Partners LP, Hatteras Electrical Manufacturing Holding Company and Sigma Electric Manufacturing Corporation, Diecast Beacon (16)","Manufacturer of metal castings, precision machined components and sub-assemblies in the electrical products, power transmission and distribution and general industrial markets",First lien senior secured revolving loan,0,10/31/2017,0.0,0.0
583,"Apex Clean Energy TopCo, LLC (4)","Developer, builder and owner of utility-scale wind and solar power facilities","Class A common units (1,335,610 units)",0,11/17/2021,80.5,79.1
584,"Ferrellgas, L.P.",Distributor of propane and related accessories,"Senior preferred units (55,708 units)",8.96%,3/30/2021,55.7,55.7
585,"Heelstone Renewable Energy, LLC and Heelstone Renewable Energy Investors, LLC (5)(16)",Developer of utility scale solar systems,First lien senior secured loan ($60.5 par due 04/2024),8.00% (LIBOR + 7.00%/Q),4/14/2021,60.5,60.5
586,"Heelstone Renewable Energy, LLC and Heelstone Renewable Energy Investors, LLC (5)(16)",Developer of utility scale solar systems,Class A1 units (100 units),0,4/14/2021,25.9,30.1
587,"Heelstone Renewable Energy, LLC and Heelstone Renewable Energy Investors, LLC (5)(16)",Developer of utility scale solar systems,"Class A2 units (3,296,184 units)",0,3/11/2022,3.8,2.9
588,Opal Fuels LLC,Owner of natural gas facilities,Senior subordinated loan ($53.8 par due 12/2026),8.00% PIK,5/1/2021,45.1,53.8
589,"PosiGen, Inc.",Seller and leaser of solar power systems for residential and commercial customers,"Warrant to purchase up to 101,555 shares of series D-1 preferred stock (expires 6/2028)",0,6/10/2021,0.0,0.0
590,"PosiGen, Inc.",Seller and leaser of solar power systems for residential and commercial customers,"Warrant to purchase up to 1,112,022 shares of common stock (expires 1/2027)",0,1/29/2020,0.0,0.0
591,Potomac Intermediate Holdings II LLC (5),Gas turbine power generation facilities operator,"Series A units (220,884,442 units)",0,11/9/2021,179.7,181.6
592,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($53.1 par due 06/2024),10.01% (LIBOR + 9.00%/Q),8/30/2021,52.7,53.1
593,"SE1 Generation, LLC",Solar power developer,Senior subordinated loan ($59.7 par due 12/2022),"4.75% Cash, 5.50% PIK",12/17/2019,59.7,59.7
594,"Sunrun Atlas Depositor 2019-2, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.1 par due 02/2055),3.61%,10/28/2019,0.1,0.1
595,"Sunrun Atlas Depositor 2019-2, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,Senior subordinated loan ($143.5 par due 11/2025),"8.75% (LIBOR + 2.75% Cash, 4.00% PIK/Q)",11/26/2019,143.5,143.5
596,"Sunrun Luna Holdco 2021, LLC (16)",Residential solar energy provider,Senior subordinated revolving loan,4.29% (SOFR + 3.50%/Q),3/23/2022,45.0,44.6
597,"Sunrun Luna Holdco 2021, LLC (16)",Residential solar energy provider,Senior subordinated revolving loan,8.67% (SOFR + 7.88%/Q),3/23/2022,30.0,29.7
598,"Sunrun Xanadu Issuer 2019-1, LLC and Sunrun Xanadu Holdings 2019-1, LLC",Residential solar energy provider,First lien senior secured loan ($0.4 par due 06/2054),3.98%,6/7/2019,0.4,0.4
599,"Sunrun Xanadu Issuer 2019-1, LLC and Sunrun Xanadu Holdings 2019-1, LLC",Residential solar energy provider,Senior subordinated loan ($70.1 par due 07/2030),"8.75% (LIBOR + 3.98% Cash, 2.77% PIK/Q)",6/27/2019,70.1,70.1
600,"Automotive Keys Group, LLC and Automotive Keys Investor, LLC",Provider of replacement wireless keys for automotive market,First lien senior secured loan ($0.1 par due 11/2025),6.01% (LIBOR + 5.00%/Q),12/17/2021,0.1,0.1
601,"Automotive Keys Group, LLC and Automotive Keys Investor, LLC",Provider of replacement wireless keys for automotive market,"Preferred units (4,113,113 units)",9.00% PIK,11/6/2020,4.6,3.3
602,"Automotive Keys Group, LLC and Automotive Keys Investor, LLC",Provider of replacement wireless keys for automotive market,"Class A common units (4,113,113 units)",0,11/6/2020,0.0,0.0
603,"Continental Acquisition Holdings, Inc.","Distributor of aftermarket batteries to the electric utility vehicle, automotive, commercial, marine and industrial markets",First lien senior secured loan ($26.6 par due 01/2027),7.76% (LIBOR + 6.75%/Q),1/20/2021,26.6,26.6
604,"Continental Acquisition Holdings, Inc.","Distributor of aftermarket batteries to the electric utility vehicle, automotive, commercial, marine and industrial markets",First lien senior secured loan ($5.4 par due 01/2027),7.75% (LIBOR + 6.75%/Q),12/22/2021,5.4,5.4
605,"Continental Acquisition Holdings, Inc.","Distributor of aftermarket batteries to the electric utility vehicle, automotive, commercial, marine and industrial markets",First lien senior secured loan ($9.8 par due 01/2027),7.75% (LIBOR + 6.75%/Q),1/20/2021,9.8,9.8
606,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(16)",Restoration parts and accessories provider for classic automobiles,First lien senior secured revolving loan ($9.7 par due 05/2022),0,7/12/2012,9.2,6.0
607,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(16)",Restoration parts and accessories provider for classic automobiles,First lien senior secured loan ($27.1 par due 05/2022),0,7/12/2012,25.5,16.8
608,"Eckler Industries, Inc. and Eckler Purchaser LLC (5)(16)",Restoration parts and accessories provider for classic automobiles,"Class A common units (67,972 units)",0,7/12/2012,16.4,0.0
609,"Faraday&Future Inc., FF Inc., Faraday SPE, LLC and Faraday Future Intelligent Electric Inc.",Electric vehicle manufacturer,"Warrant to purchase up to 633,008 shares of Class A common stock (expires 8/2027)",0,8/5/2021,2.3,1.0
610,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (16)",Manufacturer and distributor of automotive fluids,First lien senior secured revolving loan ($6.8 par due 11/2025),4.15% (LIBOR + 3.75%/M),11/9/2020,6.8,6.4
611,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (16)",Manufacturer and distributor of automotive fluids,First lien senior secured loan ($11.9 par due 11/2027),5.25% (LIBOR + 4.50%/Q),3/30/2022,11.3,11.3
612,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (16)",Manufacturer and distributor of automotive fluids,Second lien senior secured loan ($70.4 par due 11/2028),8.75% (LIBOR + 8.00%/Q),11/9/2020,70.4,66.1
613,"Highline Aftermarket Acquisition, LLC, Highline Aftermarket SC Acquisition, Inc. and Highline PPC Blocker LLC (16)",Manufacturer and distributor of automotive fluids,"Co-invest units (59,230 units)",0,11/4/2020,5.9,3.6
614,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($106.2 par due 12/2025),5.88% (LIBOR + 5.25%/M),12/21/2018,105.9,106.2
615,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,First lien senior secured loan ($19.1 par due 12/2025),5.88% (LIBOR + 5.25%/M),12/21/2018,19.1,19.1
616,"Mac Lean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,"Preferred units (59,453 units)",13.75% (4.50% Cash + 9.25% PIK),10/9/2015,75.7,75.7
617,"Mavis Tire Express Services Topco Corp., Metis Holdco, Inc. and Metis Topco, LP (16)",Auto parts retailer,First lien senior secured revolving loan ($19.7 par due 05/2026),4.22% (LIBOR + 3.75%/Q),5/4/2021,19.7,19.7
618,"Mavis Tire Express Services Topco Corp., Metis Holdco, Inc. and Metis Topco, LP (16)",Auto parts retailer,"Series A preferred stock (68,601 shares)",7.00% PIK,5/4/2021,73.1,73.0
619,"Mavis Tire Express Services Topco Corp., Metis Holdco, Inc. and Metis Topco, LP (16)",Auto parts retailer,"Class A-1 units (24,586 units)",0,5/4/2021,24.6,29.2
620,McLaren Group Limited,Automobile manufacturer and retailer,"Senior preference shares (200,000 shares)",12.50% PIK,8/2/2021,22.1,27.6
621,McLaren Group Limited,Automobile manufacturer and retailer,"Warrant to purchase up to 49,181 ordinary shares (expires 8/2028)",0,8/2/2021,5.5,4.8
622,McLaren Group Limited,Automobile manufacturer and retailer,"Warrant to purchase up to 13,776 ordinary shares (expires 8/2028)",0,8/2/2021,1.6,1.3
623,"SK SPV IV, LLC",Collision repair site operator,"Series A common stock (12,500 units)",0,8/18/2014,0.6,0.0
624,"SK SPV IV, LLC",Collision repair site operator,"Series B common stock (12,500 units)",0,8/18/2014,0.6,0.0
625,"Sun Acquirer Corp. and Sun TopCo, LP (16)",Automotive parts and repair services retailer,First lien senior secured loan ($33.2 par due 09/2028),6.76% (LIBOR + 5.75%/Q),9/8/2021,33.2,33.2
626,"Sun Acquirer Corp. and Sun TopCo, LP (16)",Automotive parts and repair services retailer,First lien senior secured loan ($21.0 par due 09/2028),6.76% (LIBOR + 5.75%/Q),9/8/2021,21.0,21.0
627,"Sun Acquirer Corp. and Sun TopCo, LP (16)",Automotive parts and repair services retailer,First lien senior secured loan ($17.4 par due 09/2028),6.76% (LIBOR + 5.75%/Q),11/18/2021,17.4,17.4
628,"Sun Acquirer Corp. and Sun TopCo, LP (16)",Automotive parts and repair services retailer,"Class A units (74,896 units)",0,9/8/2021,7.5,9.7
629,"Wand Newco 3, Inc.",Collision repair company,Second lien senior secured loan ($180.2 par due 02/2027),7.71% (LIBOR + 7.25%/M),2/5/2019,178.3,176.6
630,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($116.9 par due 12/2022),0,11/27/2006,0.0,0.0
631,"Aimbridge Acquisition Co., Inc.",Hotel operator,Second lien senior secured loan ($22.5 par due 02/2027),7.96% (LIBOR + 7.50%/M),2/1/2019,22.2,21.6
632,American Residential Services L.L.C. and Aragorn Parent Holdings LP (16),"Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($0.4 par due 10/2025),3.70% (LIBOR + 3.25%/M),10/15/2020,0.4,0.4
633,American Residential Services L.L.C. and Aragorn Parent Holdings LP (16),"Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($0.8 par due 10/2025),5.75% (Prime + 2.25%/M),10/15/2020,0.8,0.8
634,American Residential Services L.L.C. and Aragorn Parent Holdings LP (16),"Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($56.4 par due 10/2028),9.51% (LIBOR + 8.50%/Q),10/15/2020,56.4,56.4
635,American Residential Services L.L.C. and Aragorn Parent Holdings LP (16),"Heating, ventilation and air conditioning services provider","Series A preferred units (2,531,500 units)",10.00% PIK,10/15/2020,2.8,4.1
636,"ATI Restoration, LLC (16)",Provider of disaster recovery services,First lien senior secured revolving loan ($9.2 par due 07/2026),6.25% (LIBOR + 5.25%/Q),7/31/2020,9.2,9.2
637,"ATI Restoration, LLC (16)",Provider of disaster recovery services,First lien senior secured loan ($33.2 par due 07/2026),6.25% (LIBOR + 5.25%/Q),7/31/2020,33.2,33.2
638,"Belfor Holdings, Inc. (16)",Disaster recovery services provider,First lien senior secured revolving loan ($0.3 par due 04/2024),5.75% (Base Rate + 2.25%/Q),4/4/2019,0.3,0.3
639,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($68.2 par due 05/2023),11.76% (LIBOR + 10.75%/Q),5/30/2018,67.5,61.4
640,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($15.2 par due 05/2023),11.76% (LIBOR + 10.75%/Q),11/5/2018,15.2,13.7
641,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($15.5 par due 05/2023),11.76% PIK (LIBOR + 10.75%/Q),7/3/2019,15.3,13.9
642,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($20.0 par due 05/2023),11.76% (LIBOR + 10.75%/Q),12/27/2019,19.1,18.0
643,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($3.0 par due 05/2023),11.76% (LIBOR + 10.75%/Q),8/20/2018,3.0,2.7
644,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($4.9 par due 05/2023),11.76% (LIBOR + 10.75%/Q),6/30/2020,4.9,4.4
645,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",First lien senior secured loan ($30.0 par due 05/2023),11.76% (LIBOR + 10.75%/Q),12/22/2020,29.0,27.0
646,"Cipriani USA, Inc. and Cipriani Group Holding S.A.R.L.","Manager and operator of banquet facilities, restaurants, hotels and other leisure properties",Warrant to purchase up to 718.66 shares (expires 3/2041),0,3/21/2021,2.1,3.4
647,Concert Golf Partners Holdco LLC (16),Golf club owner and operator,First lien senior secured revolving loan ($0.7 par due 03/2028),6.59% (SOFR + 5.75%/Q),3/31/2022,0.7,0.7
648,Concert Golf Partners Holdco LLC (16),Golf club owner and operator,First lien senior secured loan ($10.7 par due 04/2029),6.59% (SOFR + 5.75%/Q),3/31/2022,10.7,10.6
649,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,First lien senior secured revolving loan,0,11/16/2020,0.0,0.0
650,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,First lien senior secured loan ($0.9 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/24/2021,0.9,0.9
651,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,First lien senior secured loan ($48.6 par due 11/2026),6.75% (LIBOR + 5.75%/Q),11/16/2020,48.6,48.6
652,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,First lien senior secured loan ($80.2 par due 11/2026),6.75% (LIBOR + 5.75%/Q),4/2/2021,80.2,80.2
653,Essential Services Holding Corporation and OMERS Mahomes Investment Holdings LLC (16),Provider of plumbing and HVAC services,"Class A units (6,099 units)",0,11/16/2020,20.9,32.1
654,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (16),Restaurant owner and operator,First lien senior secured revolving loan ($7.5 par due 02/2022),0,2/1/2017,0.0,0.0
655,Garden Fresh Restaurant Corp. and GFRC Holdings LLC (16),Restaurant owner and operator,First lien senior secured loan ($21.6 par due 02/2022),0,2/1/2017,0.0,0.0
656,"Jenny C Acquisition, Inc.",Health club franchisor,Senior subordinated loan ($1.4 par due 04/2025),8.00% PIK,4/5/2019,1.4,1.4
657,"Jim N Nicks Management, LLC (16)",Restaurant owner and operator,First lien senior secured revolving loan ($1.8 par due 07/2023),6.26% (LIBOR + 5.25%/Q),7/10/2017,1.8,1.8
658,"Jim N Nicks Management, LLC (16)",Restaurant owner and operator,First lien senior secured loan ($14.7 par due 07/2023),6.26% (LIBOR + 5.25%/Q),7/10/2017,14.7,14.7
659,"KeyStone Sub-debt HoldCo, LLC",Planet Fitness franchisee,Senior subordinated loan ($7.4 par due 01/2027),10.00% PIK,9/30/2021,7.4,7.4
660,"KeyStone Sub-debt HoldCo, LLC",Planet Fitness franchisee,Senior subordinated loan ($55.7 par due 01/2027),10.00% PIK,1/20/2021,52.7,55.7
661,"KeyStone Sub-debt HoldCo, LLC",Planet Fitness franchisee,Warrant to purchase up to 24.7581 Class C interests (expires 1/2027),0,1/20/2021,3.6,5.4
662,"Len the Plumber, LLC, LTP Neffsville, LLC, LTP of NJ, LLC, LTP LSI, LLC, LTP RB, LLC and Precision Air of Georgia, LLC",Provider of plumbing services,First lien senior secured loan ($15.9 par due 02/2026),7.00% (SOFR + 6.00%/M),10/14/2021,15.9,15.9
