1229,,"Emerge Intermediate, Inc.+",Common Stock,,,,,,,,,0,,,61,,,0,,50,,,,,,,
1230,,"Emerge Intermediate, Inc.+",Common Stock,,,,,,,,,9,,,4,,,0,,0,,,,,,,
1231,,"Encore GC Acquisition, LLC+",Common Stock,,,,,,,,,26,,,272,,,0,,198,,,,,,,
1232,,"Encore GC Acquisition, LLC+",LLC units,,,,,,,,,26,,,52,,,0,,0,,,,,,,
1233,,Encorevet Group LLC+,Common Stock,,,,,,,,,0,,,15,,,0,,22,,,,,,,
1234,,Encorevet Group LLC+,LLC units,,,,,,,,,0,,,8,,,0,,11,,,,,,,
1235,,Eyecare Services Partners Holdings LLC+,LLC units,,,,,,,,,0,,,262,,,0,,6,,,,,,,
1236,,Eyecare Services Partners Holdings LLC+,LLC units,,,,,,,,,0,,,1,,,0,,0,,,,,,,
1237,,"Krueger-Gilbert Health Physics, LLC+",Common Stock,,,,,,,,,174,,,195,,,0,,218,,,,,,,
1238,,"MD Now Holdings, Inc.+(17)",Common Stock,,,,,,,,,15,,,110,,,0,,166,,,,,,,
1239,,"Midwest Veterinary Partners, LLC+",Warrant,,,,,,,,,0,,,29,,,0,,35,,,,,,,
1240,,"Midwest Veterinary Partners, LLC+",Warrant,,,,,,,,,6,,,0,,,0,,103,,,,,,,
1241,,"MWD Management, LLC & MWD Services, Inc.+",Warrant,,,,,,,,,412,,,335,,,0,,398,,,,,,,
1242,,"NDX Parent, LLC+",Common Stock,,,,,,,,,0,,,272,,,0,,272,,,,,,,
1243,,"New Look (Delaware) Corporation and NL1 AcquireCo, Inc.+(8)(9)(12)",Common Stock,,,,,,,,,7,,,296,,,0,,290,,,,,,,
1244,,"Oliver Street Dermatology Holdings, LLC+",Common Stock,,,,,,,,,452,,,234,,,0,,0,,,,,,,
1245,,"Pentec Acquisition Sub, Inc.+",Preferred stock,,,,,,,,,1,,,116,,,0,,211,,,,,,,
1246,,"Pinnacle Treatment Centers, Inc.+",LP units,,,,,,,,,0,,,528,,,0,,669,,,,,,,
1247,,"Pinnacle Treatment Centers, Inc.+",Preferred stock,,,,,,,,,4,,,74,,,0,,745,,,,,,,
1248,,"Radiology Partners, Inc.+",LLC units,,,,,,,,,11,,,68,,,0,,91,,,,,,,
1249,,"Radiology Partners, Inc.+",Common Stock,,,,,,,,,43,,,55,,,0,,359,,,,,,,
1250,,"Sage Dental Management, LLC+",LLC units,,,,,,,,,0,,,249,,,0,,0,,,,,,,
1251,,"Sage Dental Management, LLC+",LLC units,,,,,,,,,3,,,3,,,0,,0,,,,,,,
1252,,SSH Corporation+,LP interest,,,,,,,,,0,,,40,,,0,,108,,,,,,,
1253,,"Summit Behavioral Healthcare, LLC+(17)",LLC units,,,,,,,,,2,,,115,,,0,,224,,,,,,,
1254,,"Summit Behavioral Healthcare, LLC+",LLC units,,,,,,,,,2,,,0,,,0,,95,,,,,,,
1255,,,,,,,,,,,,,,"13,068",,,0.4,,"16,644",,,,,,,,
1257,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1258,,Health Care Technology,,,,,,,,,,,,,,,,,,,,,,,,,
1259,,"Caliper Software, Inc.+",LLC units,,,,,,,,,2,,,,"2,734",,,0.1,%,,"3,388",,,,,
1260,,"Caliper Software, Inc.+",Common Stock,,,,,,,,,2,,,"1,427",,,0.1,,"1,511",,,,,,,
1261,,"Caliper Software, Inc.+",Preferred stock,,,,,,,,,1,,,880,,,0,,880,,,,,,,
1262,,"Caliper Software, Inc.+",LLC units,,,,,,,,,221,,,283,,,0.1,,"1,380",,,,,,,
1263,,"Caliper Software, Inc.+",Preferred stock,,,,,,,,,0,,,64,,,0,,71,,,,,,,
1264,,"Caliper Software, Inc.+",LP interest,,,,,,,,,0,,,37,,,0,,51,,,,,,,
1265,,"Connexin Software, Inc.+",LLC interest,,,,,,,,,153,,,192,,,0,,303,,,,,,,
1266,,"HSI Halo Acquisition, Inc.+",LLC units,,,,,,,,,0,,,288,,,0,,228,,,,,,,
1267,,"HSI Halo Acquisition, Inc.+",LLC units,,,,,,,,,0,,,0,,,0,,0,,,,,,,
1268,,"Kareo, Inc.+",LLC units,,,,,,,,,52,,,162,,,0,,55,,,,,,,
1269,,"Kareo, Inc.+",LLC units,,,,,,,,,13,,,49,,,0,,42,,,,,,,
1270,,"Kareo, Inc.+",LLC interest,,,,,,,,,2,,,8,,,0,,11,,,,,,,
1271,,,,,,,,,,,,,,"6,124",,,0.3,,"7,920",,,,,,,,
1272,,"Hotels, Restaurants & Leisure",,,,,,,,,,,,,,,,,,,,,,,,,
1273,,Freddy's Frozen Custard LLC+,Common Stock,,,,,,,,,206,,,206,,,0,,226,,,,,,,
1274,,"LMP TR Holdings, LLC",LLC units,,,,,,,,,712,,,712,,,0,,362,,,,,,,
1275,,"SSRG Holdings, LLC",LP interest,,,,,,,,,6,,,61,,,0,,62,,,,,,,
1276,,"Tropical Smoothie Cafe Holdings, LLC+(17)",LLC interest,,,,,,,,,5,,,477,,,0,,722,,,,,,,
1277,,,,,,,,,,,,,,"1,456",,,0,,"1,372",,,,,,,,
1279,,Household Durables,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,Groundworks LLC+,Common Stock,,,,,,,,,0,,,155,,,0,,368,,,,,,,
1282,,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,
1283,,"Captive Resources Midco, LLC+(17)",LLC units,,,,,,,,,425,,,0,,,0,,488,,,,,,,
1284,,Majesco+,Common Stock,,,,,,,,,0,,,307,,,0,,326,,,,,,,
1285,,Majesco+,Common Stock,,,,,,,,,69,,,0,,,0,,152,,,,,,,
1286,,"Orchid Underwriters Agency, LLC+(17)",Common Stock,,,,,,,,,92,,,103,,,0,,94,,,,,,,
1287,,,,,,,,,,,,,,410,,,0,,"1,060",,,,,,,,
1289,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1290,,IT Services,,,,,,,,,,,,,,,,,,,,,,,,,
1291,,"Appriss Health Intermediate Holdings, Inc+",Preferred stock,,,,,,,,,2,,,,"1,994",,,0.1,%,,"1,994",,,,,
1292,,"Appriss Holdings, Inc.+",Preferred stock,,,,,,,,,0,,,174,,,0.1,,199,,,,,,,
1293,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.+",LLC units,,,,,,,,,587,,,462,,,0.2,,"3,895",,,,,,,
1294,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.+",Preferred stock,,,,,,,,,154,,,423,,,0,,"1,105",,,,,,,
1295,,"Arctic Wolfs Networks, Inc. and Arctic Wolf Networks Canada, Inc.+",Warrant,,,,,,,,,202,,,159,,,0,,"1,245",,,,,,,
1296,,"Episerver, Inc.+",LLC interest,,,,,,,,,75,,,807,,,0.1,,736,,,,,,,
1297,,"PCS Intermediate II Holdings, LLC+",Preferred stock,,,,,,,,,37,,,367,,,0,,498,,,,,,,
1298,,"Red Dawn SEI Buyer, Inc.+",Warrant,,,,,,,,,13,,,13,,,0,,19,,,,,,,
1299,,Saturn Borrower Inc.+,LP units,,,,,,,,,346,,,346,,,0,,314,,,,,,,
1300,,,,,,,,,,,,,,"4,745",,,0.5,,"10,005",,,,,,,,
1301,,Leisure Products,,,,,,,,,,,,,,,,,,,,,,,,,
1302,,"Massage Envy, LLC+",LLC interest,,,,,,,,,749,,,210,,,0,,751,,,,,,,
1303,,WBZ Investment LLC+,LP interest,,,,,,,,,67,,,117,,,0,,71,,,,,,,
1304,,WBZ Investment LLC+,Preferred stock,,,,,,,,,46,,,80,,,0,,49,,,,,,,
1305,,WBZ Investment LLC+,Warrant,,,,,,,,,38,,,65,,,0,,40,,,,,,,
1306,,WBZ Investment LLC+,LLC units,,,,,,,,,33,,,58,,,0,,35,,,,,,,
1307,,WBZ Investment LLC+,LLC units,,,,,,,,,15,,,24,,,0,,15,,,,,,,
1308,,WBZ Investment LLC+,Preferred stock,,,,,,,,,2,,,2,,,0,,2,,,,,,,
1309,,,,,,,,,,,,,,556,,,0,,963,,,,,,,,
1310,,Life Sciences Tools & Services,,,,,,,,,,,,,,,,,,,,,,,,,
1311,,"Pace Analytical Services, LLC+",LP interest,,,,,,,,,6,,,700,,,0,,"1,223",,,,,,,
1313,,"Oil, Gas and Consumable Fuels",,,,,,,,,,,,,,,,,,,,,,,,,
1314,,W3 Co.+,LLC interest,,,,,,,,,3,,,"1,632",,,0.1,,"1,845",,,,,,,
1315,,W3 Co.+,LLC units,,,,,,,,,0,,,224,,,0,,235,,,,,,,
1316,,,,,,,,,,,,,,"1,856",,,0.1,,"2,080",,,,,,,,
1317,,Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,
1318,,"Amalthea Parent, Inc.+(8)(12)",Common Stock,,,,,,,,,502,,,502,,,0,,538,,,,,,,
1319,,"BIOVT, LLC+",LLC interest,,,,,,,,,0,,,"1,223",,,0.1,,"2,234",,,,,,,
1320,,,,,,,,,,,,,,"1,725",,,0.1,,"2,772",,,,,,,,
1322,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1323,,Professional Services,,,,,,,,,,,,,,,,,,,,,,,,,
1324,,"Brandmuscle, Inc.+",LLC interest,,,,,,,,,0,,,335,,,0,%,395,,,,,,,
1325,,DISA Holdings Acquisition Subsidiary Corp.+,Preferred stock,,,,,,,,,0,,,154,,,0,,458,,,,,,,
1326,,Net Health Acquisition Corp.+,LLC units,,,,,,,,,13,,,"1,509",,,0.1,,"1,776",,,,,,,
1327,,"Nexus Brands Group, Inc.+",LLC interest,,,,,,,,,0,,,547,,,0,,"1,185",,,,,,,
1328,,"Vitalyst, LLC+",Preferred stock,,,,,,,,,0,,,61,,,0,,77,,,,,,,
1329,,"Vitalyst, LLC+",Common Stock,,,,,,,,,1,,,7,,,0,,0,,,,,,,
1330,,,,,,,,,,,,,,"2,613",,,0.1,,"3,891",,,,,,,,
1331,,Real Estate Management & Development,,,,,,,,,,,,,,,,,,,,,,,,,
1332,,"Property Brands, Inc.+",Preferred stock,,,,,,,,,62,,,434,,,0,,408,,,,,,,
1334,,Road & Rail,,,,,,,,,,,,,,,,,,,,,,,,,
1335,,Internet Truckstop Group LLC+,LP interest,,,,,,,,,408,,,447,,,0,,445,,,,,,,
1338,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1339,,Software,,,,,,,,,,,,,,,,,,,,,,,,,
1340,,"Accela, Inc.+",Preferred stock,,,,,,,,,670,,,418,,,0,%,190,,,,,,,
1341,,Aras Corporation+,Preferred stock,,,,,,,,,1,,,"1,000",,,0,,"1,000",,,,,,,
1342,,Aras Corporation+,Preferred stock,,,,,,,,,306,,,306,,0,,306,,,,,,,,
1343,,"Astute Holdings, Inc. +",LP interest,,,,,,,,,0,,,294,,0,,570,,,,,,,,
1344,,"Calabrio, Inc. +",Common Stock,,,,,,,,,1,,,769,,0,,769,,,,,,,,
1345,,"Calabrio, Inc. +",Common Stock,,,,,,,,,96,,,0,,0,,0,,,,,,,,
1346,,"Cloudbees, Inc.+",LP interest,,,,,,,,,72,,,466,,0,,513,,,,,,,,
1347,,"Cloudbees, Inc.+",LLC interest,,,,,,,,,131,,,247,,0,,614,,,,,,,,
1348,,"Confluence Technologies, Inc.+",LLC interest,,,,,,,,,3,,,412,,0,,974,,,,,,,,
1349,,"Digital Guardian, Inc.+",LP interest,,,,,,,,,356,,,434,,0,,486,,,,,,,,
1350,,"Digital Guardian, Inc.+",Preferred stock,,,,,,,,,122,,,225,,0,,212,,,,,,,,
1351,,"Digital Guardian, Inc.+",LLC units,,,,,,,,,74,,,142,,0,,129,,,,,,,,
1352,,"Digital Guardian, Inc.+",Preferred stock,,,,,,,,,67,,,123,,0,,123,,,,,,,,
1353,,"Digital Guardian, Inc.+",Warrant,,,,,,,,,124,,,33,,0,,0,,,,,,,,
1354,,Diligent Corporation+,Preferred stock,,,,,,,,,17,,,"16,587",,0.7,,"17,524",,,,,,,,
1355,,Diligent Corporation+,LLC units,,,,,,,,,415,,,912,,0.1,,"2,420",,,,,,,,
1356,,"Everbridge, Inc.+(8)",Common Stock,,,,,,,,,4,,,444,,0,,458,,,,,,,,
1357,,"GS Acquisitionco, Inc.+",Preferred stock,,,,,,,,,3,,,"3,089",,0.1,,"3,255",,,,,,,,
1358,,"GS Acquisitionco, Inc.+",LLC interest,,,,,,,,,2,,,291,,0.1,,"1,566",,,,,,,,
1359,,"MetricStream, Inc.+",Warrant,,,,,,,,,168,,,263,,0,,211,,,,,,,,
1360,,"mParticle, Inc.+",LLC units,,,,,,,,,39,,,16,,0,,214,,,,,,,,
1361,,"Namely, Inc.+",LP units,,,,,,,,,47,,,314,,0,,324,,,,,,,,
1362,,"Namely, Inc.+",Preferred stock,,,,,,,,,17,,,28,,,0,,25,,,,,,,
1363,,"Onapsis, Inc., Virtual Forge GMBH and Onapsis GMBH+",LLC units,,,,,,,,,4,,,9,,0,,20,,,,,,,,
1364,,"Personify, Inc.+",LP interest,,,,,,,,,716,,,942,,0,,"1,206",,,,,,,,
1365,,"Pride Midco, Inc.+(17)",LLC units,,,,,,,,,2,,,"2,594",,0.1,,"3,086",,,,,,,,
1366,,"Project Alpha Intermediate Holding, Inc.+",Warrant,,,,,,,,,0,,,964,,0,,"1,244",,,,,,,,
1367,,"Project Alpha Intermediate Holding, Inc.+",Common Stock,,,,,,,,,202,,,329,,0,,"1,200",,,,,,,,
1368,,Pyramid Healthcare Acquisition Corp.+,Common Stock,,,,,,,,,184,,,184,,0,,184,,,,,,,,
1369,,"RegEd Aquireco, LLC+",Preferred stock,,,,,,,,,0,,,331,,0,,146,,,,,,,,
1370,,"RegEd Aquireco, LLC+",Common Stock,,,,,,,,,3,,,21,,0,,0,,,,,,,,
1371,,"SnapLogic, Inc.",LLC units,,,,,,,,,278,,,695,,0.1,,"1,588",,,,,,,,
1372,,"SnapLogic, Inc.",LLC units,,,,,,,,,69,,,27,,0,,276,,,,,,,,
1373,,Spartan Buyer Acquisition Co.+,LLC units,,,,,,,,,1,,,535,,,0,,618,,,,,,,
1374,,Telesoft Holdings LLC+,Common Stock,,,,,,,,,6,,,6,,0,,5,,,,,,,,
1375,,"Vendavo, Inc.+",LLC units,,,,,,,,,"1,017",,,"1,017",,0.1,,"2,270",,,,,,,,
1376,,"Workforce Software, LLC+",LLC units,,,,,,,,,0,,,973,,0,,883,,,,,,,,
1377,,,,,,,,,,,,,,"35,440",,,1.3,,"44,609",,,,,,,,
1380,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1381,,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,
1382,,2nd Ave. LLC+,LLC units,,,,,,,,,653,,,,653,,,0,%,,800,,,,,
1383,,Batteries Plus Holding Corporation+,LP interest,,,,,,,,,10,,,"1,287",,,0.1,,"1,425",,,,,,,
1384,,"Cycle Gear, Inc.+",LLC units,,,,,,,,,27,,,462,,,0.1,,"1,521",,,,,,,
1385,,Imperial Optical Midco Inc.+,Preferred stock,,,,,,,,,0,,,122,,,0,,139,,,,,,,
1386,,Imperial Optical Midco Inc.+,LP units,,,,,,,,,0,,,46,,,0,,51,,,,,,,
1387,,Jet Equipment & Tools Ltd.+(8)(9)(12),LLC interest,,,,,,,,,1,,,948,,,0.1,,"2,773",,,,,,,
1388,,Pet Holdings ULC+(8)(12),Common Stock,,,,,,,,,677,,,483,,,0,,"1,207",,,,,,,
1389,,"PPV Intermediate Holdings II, LLC+",LLC units,,,,,,,,,325,,,315,,,0,,590,,,,,,,
1390,,"Sola Franchise, LLC and Sola Salon Studios, LLC+",LLC interest,,,,,,,,,6,,,682,,,0,,758,,,,,,,
1391,,"Sola Franchise, LLC and Sola Salon Studios, LLC+",LLC interest,,,,,,,,,2,,,138,,,0,,156,,,,,,,
1392,,"Southern Veterinary Partners, LLC+",Preferred stock,,,,,,,,,3,,,"2,955",,,0.1,,"2,955",,,,,,,
1393,,"Southern Veterinary Partners, LLC+",LLC units,,,,,,,,,0,,,717,,,0,,999,,,,,,,
1394,,"Southern Veterinary Partners, LLC+",LLC interest,,,,,,,,,148,,,188,,,0.1,,"1,954",,,,,,,
1395,,,,,,,,,,,,,,"8,996",,,0.5,,"15,328",,,,,,,,
1396,,"Technology Hardware, Storage & Peripherals",,,,,,,,,,,,,,,,,,,,,,,,,
1397,,Agility Recovery Solutions Inc.+,LLC interest,,,,,,,,,97,,604,,0,,554,,,,,,,,,
1398,,"Textiles, Apparel & Luxury Goods",,,,,,,,,,,,,,,,,,,,,,,,,
1399,,"Elite Sportswear, L.P.+",LLC units,,,,,,,,,0,,,165,,,0,,0,,,,,,,
1400,,"Georgica Pine Clothiers, LLC+",Common Stock,,,,,,,,,20,,,239,,,0,,225,,,,,,,
1401,,"Georgica Pine Clothiers, LLC+",LLC units,,,,,,,,,0,,,0,,,0,,69,,,,,,,
1402,,"MakerSights, Inc. +",Preferred stock,,,,,,,,,40,,,218,,,0,,218,,,,,,,
1403,,R.G. Barry Corporation+,LLC units,,,,,,,,,0,,,161,,,0,,152,,,,,,,
1404,,,,,,,,,,,,,,783,,,0,,664,,,,,,,,
1406,,Total non-controlled/non-affiliate company equity investments,,,,,,,,,,"103,750",,,4.8,%,,"142,206",,,,,,,,,
1408,,Total non-controlled/non-affiliate company investments,,,,,,,,"4,292,039",,,"4,377,032",,171.6,%,,"4,370,469",,,,,,,,,
1410,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1411,,Non-controlled/affiliate company investments(18),,,,,,,,,,,,,,,,,,,,,,,,,
1412,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,
1413,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,
1414,,Uinta Brewing Company+(7),One stop,,L + 4.00%,(a),,5.00%,,08/2021,,,962,,,,922,,,0.1,%,,54,,,,
1415,,Uinta Brewing Company+(7),One stop,,L + 4.00%,(a),,5.00%,,08/2021,,570,,,565,,,0.1,,402,,,,,,,
1416,,,,,,,,,,,,"1,532",,,"1,487",,,0.2,,456,,,,,,,
1417,,Consumer Finance,,,,,,,,,,,,,,,,,,,,,,,,,
1418,,"Paradigm DKD Group, LLC+(7)",Senior loan,,L + 6.25%,(c),,7.50%,,05/2022,,"3,204",,,"2,088",,,0.1,,"2,574",,,,,,,
1419,,"Paradigm DKD Group, LLC+(5)(7)",Senior loan,,L + 6.25%,(c),,7.50%,,05/2022,,0,,,(142),,,0,,4,,,,,,,
1420,,,,,,,,,,,,"3,204",,,"1,946",,,0.1,,"2,578",,,,,,,
1421,,"Electronic Equipment, Instruments and Components",,,,,,,,,,,,,,,,,,,,,,,,,
1422,,"Sloan Company, Inc., The+(7)",One stop,,L + 8.50%,(c),,9.50%,,04/2023,,"4,708",,,"4,074",,,0.1,,"3,740",,,,,,,
1423,,"Sloan Company, Inc., The+",One stop,,L + 8.50%,(c),,9.50%,,04/2023,,700,,,700,,,0,,700,,,,,,,
1424,,"Sloan Company, Inc., The+(7)",One stop,,L + 8.50%,(c),,9.50%,,04/2023,,312,,,271,,,0,,248,,,,,,,
1425,,,,,,,,,,,,"5,720",,,"5,045",,,0.1,,"4,688",,,,,,,
1426,,"Energy, Equipment & Services",,,,,,,,,,,,,,,,,,,,,,,,,
1427,,"Benetech, Inc.+",One stop,,L + 6.00%,(a),,7.25%,,08/2023,,"3,832",,,"3,832",,,0.1,,"2,300",,,,,,,
1428,,"Benetech, Inc.+",One stop,,L + 6.00%,(a),,7.25%,,08/2023,,730,,,730,,,0,,246,,,,,,,
1429,,,,,,,,,,,,"4,562",,,"4,562",,,0.1,,"2,546",,,,,,,
1430,,Food and Staples Retailing,,,,,,,,,,,,,,,,,,,,,,,,,
1431,,"Rubio's Restaurants, Inc.+",Senior loan,,L + 8.00%,(c),,9.25%,,12/2024,,"12,993",,,"12,692",,,0.5,,"12,734",,,,,,,
1432,,"Rubio's Restaurants, Inc.+(5)",Senior loan,,L + 8.00%,,,N/A(6),,12/2024,,0,,,(17),,,0,,(28),,,,,,,
1433,,,,,,,,,,,,"12,993",,,"12,675",,,0.5,,,"12,706",,,,,,
1434,,Healthcare Providers and Services,,,,,,,,,,,,,,,,,,,,,,,,,
1435,,Elite Dental Partners LLC+,One stop,,L + 5.25%,(c),,6.25%,,06/2023,,"11,252",,,"11,316",,,0.4,,"10,915",,,,,,,
1436,,Elite Dental Partners LLC+,One stop,,L + 5.25%,,,N/A(6),,06/2023,,0,,,0,,,0,,0,,,,,,,
1437,,,,,,,,,,,,"11,252",,,"11,316",,,0.4,,,"10,915",,,,,,
1438,,Software,,,,,,,,,,,,,,,,,,,,,,,,,
1439,,Switchfly LLC+,One stop,,L + 5.00%,(c),,6.00%,,10/2023,,"6,076",,,"5,951",,,0.2,,"5,044",,,,,,,
1440,,Switchfly LLC+,One stop,,L + 5.00%,(c),,6.00%,,10/2023,,508,,,498,,,0,,421,,,,,,,
1441,,Switchfly LLC+,One stop,,L + 5.00%,(c),,6.00%,,10/2023,,38,,,38,,,0,,32,,,,,,,
1442,,Switchfly LLC+(5),One stop,,L + 8.50%,(c),,9.50%,,10/2023,,2,,,2,,,0,,(9),,,,,,,
1443,,,,,,,,,,,,"6,624",,,"6,489",,,0.2,,,"5,488",,,,,,
1444,,Total controlled affiliate debt investments,,,,,,,,,,,"45,887",,,,"43,520",,,,1.6,,%,,"39,377",,
1447,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1448,,Equity investments(15)(16),,,,,,,,,,,,,,,,,,,,,,,,,
1449,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,Uinta Brewing Company,LLC units,,,,,,,,,153,,,17,,,0,%,,0,,,,,,
1451,,Consumer Finance,,,,,,,,,,,,,,,,,,,,,,,,,
1452,,"Paradigm DKD Group, LLC",LLC interest,,,,,,,,,354,,,115,,,0,,4,,,,,,,
1453,,"Paradigm DKD Group, LLC",Preferred stock,,,,,,,,,71,,,0,,,0,,0,,,,,,,
1454,,"Paradigm DKD Group, LLC",Preferred stock,,,,,,,,,"2,004",,,0,,,0,,0,,,,,,,
1455,,,,,,,,,,,,,,115,,,0,,,4,,,,,,,
1456,,"Electronic Equipment, Instruments and Components",,,,,,,,,,,,,,,,,,,,,,,,,
1457,,"Sloan Company, Inc., The+",LLC units,,,,,,,,,0,,,,152,,,0,,,0,,,,,
1458,,"Sloan Company, Inc., The+",LLC interest,,,,,,,,,3,,,14,,,0,,0,,,,,,,
1459,,"Sloan Company, Inc., The+",Preferred stock,,,,,,,,,0,,,41,,,0,,0,,,,,,,
1460,,,,,,,,,,,,,,207,,,0,,0,,,,,,,,
1462,,"Energy, Equipment & Services",,,,,,,,,,,,,,,,,,,,,,,,,
1463,,"Benetech, Inc.+",LLC interest,,,,,,,,,58,,,0,,,0,,0,,,,,,,
1464,,"Benetech, Inc.+",LLC interest,,,,,,,,,58,,,0,,,0,,0,,,,,,,
1465,,,,,,,,,,,,,,0,,,0,,0,,,,,,,,
1466,,Food and Staples Retailing,,,,,,,,,,,,,,,,,,,,,,,,,
1467,,"Rubio's Restaurants, Inc.+",Warrant,,,,,,,,,"2,779",,,"2,276",,,0.1,,"2,844",,,,,,,
1468,,"Rubio's Restaurants, Inc.+",Preferred stock,,,,,,,,,886,,,182,,,0,,"1,082",,,,,,,
1469,,"Rubio's Restaurants, Inc.+",LP units,,,,,,,,,536,,,110,,,0,,654,,,,,,,
1470,,"Rubio's Restaurants, Inc.+",Common Stock,,,,,,,,,89,,,6,,,0,,61,,,,,,,
1471,,"Rubio's Restaurants, Inc.+",LP units,,,,,,,,,52,,,3,,,0,,35,,,,,,,
1472,,"Rubio's Restaurants, Inc.+",Common Stock,,,,,,,,,21,,,0,,,0,,2,,,,,,,
1473,,"Rubio's Restaurants, Inc.+",LLC units,,,,,,,,,21,,,0,,,0,,0,,,,,,,
1474,,"Rubio's Restaurants, Inc.+",Preferred stock,,,,,,,,,42,,,0,,,0,,0,,,,,,,
1475,,"Rubio's Restaurants, Inc.+",Preferred stock,,,,,,,,,18,,,0,,,0,,1,,,,,,,
1476,,"Rubio's Restaurants, Inc.+",Common Stock,,,,,,,,,18,,,0,,,0,,0,,,,,,,
1477,,"Rubio's Restaurants, Inc.+",Common Stock,,,,,,,,,89,,,0,,,0,,0,,,,,,,
1478,,,,,,,,,,,,,,"2,577",,,0.1,,"4,679",,,,,,,,
1480,,Healthcare Providers and Services,,,,,,,,,,,,,,,,,,,,,,,,,
1481,,Elite Dental Partners LLC,Warrant,,,,,,,,,0,,,"2,902",,,0.1,,"3,276",,,,,,,
1482,,Elite Dental Partners LLC,Warrant,,,,,,,,,0,,,"1,250",,,0.1,,"1,507",,,,,,,
1483,,Elite Dental Partners LLC,LLC units,,,,,,,,,0,,,0,,,0,,126,,,,,,,
1484,,,,,,,,,,,,,,"4,152",,,0.2,,"4,909",,,,,,,,
1485,,Software,,,,,,,,,,,,,,,,,,,,,,,,,
1486,,Switchfly LLC+,LLC interest,,,,,,,,,"3,419",,,"2,320",,,0.1,,"2,276",,,,,,,
1488,,Total non-controlled/affiliate equity investments,,,,,,,,,,"9,388",,,0.4,%,,"11,868",,,,,,,,,
1490,,Total non-controlled/affiliate investments,,,,,,,,,,,"45,887",,,,"52,908",,,2.0,%,,"51,245",,,,
1493,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
1494,,Controlled affiliate company investments(19),,,,,,,,,,,,,,,,,,,,,,,,,
1495,,Debt Investments,,,,,,,,,,,,,,,,,,,,,,,,,
1496,,IT Services,,,,,,,,,,,,,,,,,,,,,,,,,
1497,,MMan Acquisition Co.*+(7),One stop,,,,,10.00% PIK,,08/2023,,,"22,527",,,,"19,691",,,0.6,%,,"16,026",,,,
1498,,MMan Acquisition Co.+,One stop,,,,,8.00% PIK,,08/2023,,"1,468",,,"1,468",,,0.1,,"1,468",,,,,,,
1499,,,,,,,,,,,,"23,995",,,"21,159",,,0.7,,"17,494",,,,,,,
1501,,Total controlled affiliate debt investments,,,,,,,,,,,"23,995",,,,"21,159",,,0.7,%,,"17,494",,,,
1503,,Equity Investments(15)(16),,,,,,,,,,,,,,,,,,,,,,,,,
1504,,IT Services,,,,,,,,,,,,,,,,,,,,,,,,,
1505,,MMan Acquisition Co.+,Common Stock,,,,,,,,,0,,,,928,,,0,,,339,,,,,
1506,,,,,,,,,,,,,,928,,,0,,339,,,,,,,,
1508,,Total controlled affiliate equity investments,,,,,,,,,,,,,928,,,0,%,,339,,,,,,
1510,,Total controlled affiliate investments,,,,,,,,,,,"23,995",,,,"22,087",,,0.7,%,,"17,833",,,,
1512,,Total investments,,,,,,,,"4,361,921",,,,"4,452,027",,,174.3,%,,"4,439,547",,,,,,,
1514,,Money market funds (included in cash and cash equivalents and restricted cash and cash equivalents),,,,,,,,,,,,,,,,,,,,,,,,,
